weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,date,city,latitude,longitude,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky
2.0,28.4675,14.0675,20.511251,28.215553,13.368692,19.45827,42224.96,38955.992,0.0,0.0,0.0,15.530151,29.88,29.54493,23.46,5.1954837,2024-11-28,Ngaoundéré,13.5833,13.5833,162.54167,1.3583332,0.40416667,74.541664,0.19416666,52.5,2.3083332,2.3083332
1.0,29.4675,14.217501,21.019583,28.480412,13.288414,19.82061,42214.11,39232.426,0.0,0.0,0.0,17.786331,34.2,37.32763,23.46,5.3312507,2024-11-29,Ngaoundéré,13.5833,13.5833,193.08333,1.3916668,0.5416667,81.541664,0.2675,58.041668,2.1916666,2.21875
3.0,29.9175,14.0675,21.034166,29.254238,12.972824,19.770437,42203.65,39597.45,0.0,0.0,0.0,15.876775,29.16,31.628628,23.97,5.405421,2024-11-30,Ngaoundéré,13.5833,13.5833,202.16667,1.3708334,0.5916667,82.291664,0.275,55.333332,2.2083333,2.2083333
2.0,30.6675,12.717501,21.052917,30.842484,11.706247,19.670126,42193.594,39585.043,0.0,0.0,0.0,15.4800005,29.16,24.863655,23.3,5.4042897,2024-12-01,Ngaoundéré,13.5833,13.5833,202.33333,1.4166666,0.73333335,85.291664,0.21833332,44.333332,2.2833333,2.2833333
2.0,30.9175,15.1175,21.565416,30.05296,14.002186,20.008131,42183.96,39418.934,0.0,0.0,0.0,16.055355,29.16,29.500614,23.38,5.494442,2024-12-02,Ngaoundéré,13.5833,13.5833,202.70833,1.3166667,0.5833333,88.333336,0.18624999,37.791668,2.2375,2.2520833
1.0,30.5175,13.2675,21.06125,28.66391,12.016445,19.123205,42174.76,39561.688,0.0,0.0,0.0,17.713316,33.48,28.739704,23.44,5.664379,2024-12-03,Ngaoundéré,13.5833,13.5833,214.0,1.9,0.5,85.0,0.18,47.0,0.0,0.0
3.0,24.672,20.272,22.222,27.45063,23.54951,25.257154,42852.457,37846.32,0.4,0.0,4.0,10.44,38.519997,118.98593,15.74,2.8546264,2024-11-27,Buea,9.241,9.241,298.0,8.1,1.7,50.0,0.43,23.0,0.0,0.0
80.0,23.272,20.172,22.00325,27.383204,22.425571,25.052498,42846.414,37509.67,0.5,0.0,3.0,9.726664,45.0,136.77884,12.32,2.2500336,2024-11-28,Buea,9.241,9.241,255.79167,5.2208333,1.1083333,60.916668,0.35791668,25.875,1.5104166,2.2083333
80.0,24.822,20.872,22.632416,28.004528,22.401371,25.212296,42840.582,34988.46,0.70000005,0.0,2.0,11.183201,42.48,112.74415,12.73,2.4509237,2024-11-29,Buea,9.241,9.241,231.29167,6.7374997,0.925,49.875,0.34666666,16.125,1.1666666,2.23125
3.0,25.222,21.422,22.91575,28.35722,23.368238,25.589266,42834.957,39258.574,0.0,0.0,0.0,10.587918,38.88,119.55352,16.03,3.0459275,2024-11-30,Buea,9.241,9.241,227.58333,6.5833335,1.025,55.0,0.44708332,15.875,1.4333334,2.0708334
80.0,24.422,20.922,22.590752,28.133091,23.438967,25.347853,42829.55,39945.348,0.6,0.0,6.0,10.00256,38.88,271.84747,15.23,2.842605,2024-12-01,Buea,9.241,9.241,240.33333,6.5833335,0.9083333,51.875,0.44833335,17.75,1.0333333,2.0666666
3.0,23.922,20.622,22.369919,27.709377,23.35295,25.322687,42824.375,39112.273,0.9,0.0,6.0,7.072878,33.48,283.79947,14.86,2.771448,2024-12-02,Buea,9.241,9.241,298.625,4.883333,0.7291667,55.166668,0.41083333,19.75,1.0291667,2.0895834
80.0,24.272,20.622,22.540754,28.691208,22.844017,25.628853,42819.43,39971.137,1.8000002,0.0,6.0,6.725354,37.8,255.61855,15.88,2.9651918,2024-12-03,Buea,9.241,9.241,361.0,8.5,0.9,31.0,0.41,14.0,0.0,0.0
80.0,28.699,21.199,24.396917,32.702316,25.258543,28.384832,43088.234,37070.383,0.9000001,0.0,7.0,6.379216,28.44,66.32942,17.5,3.5319304,2024-11-27,Ebolowa,11.15,11.15,287.0,1.4,0.0,49.0,0.32,5.0,0.0,0.0
45.0,30.098999,19.399,24.394829,32.899975,22.700922,27.844244,43084.17,32924.11,0.1,0.0,1.0,9.9571085,30.599998,52.78346,19.01,3.9739325,2024-11-28,Ebolowa,11.15,11.15,244.66667,2.5833333,0.104166664,54.333332,0.30333334,15.041667,1.3833333,2.4291666
45.0,30.499,21.049,25.28858,33.07182,25.267454,29.059248,43080.254,35978.188,0.1,0.0,1.0,10.685391,23.039999,58.570484,18.27,3.8558764,2024-11-29,Ebolowa,11.15,11.15,225.29167,3.7375,0.3375,50.291668,0.42624998,15.75,1.9875001,2.2979167
45.0,31.149,21.098999,25.219831,34.480328,25.375822,29.24344,43076.477,37844.1,0.0,0.0,0.0,9.511088,23.4,30.068491,19.84,4.1292086,2024-11-30,Ebolowa,11.15,11.15,212.83333,1.6791667,0.14583333,60.083332,0.4675,15.916667,1.5,2.1791666
45.0,30.149,21.499,25.021914,34.13663,25.740187,29.049667,43072.848,38988.95,0.0,0.0,0.0,9.114471,20.519999,319.11224,18.66,3.8442729,2024-12-01,Ebolowa,11.15,11.15,200.70833,1.3916668,0.075,60.791668,0.39541665,12.125,1.6895833,2.3020833
45.0,31.149,21.449,24.959414,34.56474,25.307144,28.741133,43069.367,39013.957,0.3,0.0,3.0,7.928178,31.68,319.3324,18.9,3.8881629,2024-12-02,Ebolowa,11.15,11.15,250.95833,1.0833334,0.1,69.333336,0.32333335,11.375,1.775,2.3208334
45.0,30.999,21.449,25.096916,33.11574,25.58874,28.510965,43066.05,37323.477,0.0,0.0,0.0,9.290511,20.16,339.18726,17.65,3.8258832,2024-12-03,Ebolowa,11.15,11.15,242.0,1.0,0.0,55.0,0.3,1.0,0.0,0.0
0.0,31.8585,15.5085,24.01475,30.738384,14.013744,22.830435,41877.203,38529.56,0.0,0.0,0.0,13.849476,27.72,88.27238,22.82,5.35225,2024-11-27,Garoua,13.4,13.4,187.0,2.0,0.9,44.0,0.29,165.0,0.0,0.0
0.0,32.3085,15.4585,24.221,31.047234,14.605318,22.926554,41862.94,38502.35,0.0,0.0,0.0,13.627795,28.44,83.6761,22.35,5.287595,2024-11-28,Garoua,13.4,13.4,185.41667,1.4250001,0.625,55.333332,0.23416667,131.41667,1.9562501,1.9645833
3.0,33.4585,17.258501,25.37725,31.747189,16.302572,24.127844,41849.16,37525.223,0.0,0.0,0.0,14.24163,28.44,85.91443,22.22,5.457111,2024-11-29,Garoua,13.4,13.4,196.95833,1.4208332,0.65416664,59.458332,0.30458334,114.416664,1.875,1.875
3.0,33.7085,15.5585,24.756416,31.93892,14.473251,23.353388,41835.87,38854.99,0.0,0.0,0.0,13.493999,27.0,90.74019,22.87,5.496852,2024-11-30,Garoua,13.4,13.4,211.58333,1.3958334,0.7625,64.291664,0.32125,87.083336,1.875,1.875
3.0,33.5585,15.3585005,24.40017,31.993084,13.842867,22.8249,41823.11,38865.203,0.0,0.0,0.0,13.5515,26.64,83.920494,22.21,5.2388873,2024-12-01,Garoua,13.4,13.4,214.08333,1.5916667,0.94166666,61.875,0.2675,83.875,1.9229168,1.9229168
2.0,34.5085,15.6085005,24.887667,32.77714,14.600706,23.423365,41810.867,38876.004,0.0,0.0,0.0,11.631956,23.759998,79.357185,22.31,5.221656,2024-12-02,Garoua,13.4,13.4,241.54167,1.8916668,1.0500001,57.958332,0.22833334,101.0,1.9250001,1.9375
0.0,34.9585,13.1085005,25.050165,33.224327,12.259502,23.89138,41799.18,38887.32,0.0,0.0,0.0,10.587918,22.68,83.57825,22.18,5.1242676,2024-12-03,Garoua,13.4,13.4,306.0,2.8,1.5,38.0,0.26,148.0,0.0,0.0
3.0,31.439999,20.34,25.137917,33.24762,21.725645,26.528944,42758.008,40144.797,0.0,0.0,0.0,10.823973,22.319998,74.08187,22.99,4.9987373,2024-11-27,Bertoua,13.6833,13.6833,294.0,2.2,0.4,42.0,0.29,31.0,0.0,0.0
3.0,31.64,19.289999,25.021248,32.14126,20.009357,25.855806,42751.168,39134.24,0.0,0.0,0.0,15.546833,31.68,73.90666,23.05,5.2340684,2024-11-28,Bertoua,13.6833,13.6833,228.0,1.2291666,0.42499998,63.416668,0.32250002,33.833332,2.29375,2.3
2.0,32.989998,19.64,25.77125,34.27855,20.490175,26.642563,42744.566,38766.14,0.0,0.0,0.0,14.182355,29.16,66.83982,23.72,5.4428134,2024-11-29,Bertoua,13.6833,13.6833,206.66667,1.2666667,0.475,71.0,0.39874998,34.916668,2.1499999,2.1541667
2.0,33.54,18.89,25.717087,34.761776,19.498184,26.753418,42738.2,40149.07,0.0,0.0,0.0,10.8955765,22.319998,59.34944,24.6,5.4075418,2024-11-30,Bertoua,13.6833,13.6833,213.41667,1.4041667,0.54583335,72.0,0.4,37.5,1.9895834,2.15625
2.0,33.989998,18.49,25.79625,35.137497,18.914192,26.448631,42732.086,40140.66,0.0,0.0,0.0,8.287822,19.08,47.675503,24.22,5.3146486,2024-12-01,Bertoua,13.6833,13.6833,216.16667,1.6666666,0.65000004,71.166664,0.31791666,29.958334,2.2229166,2.2229166
2.0,34.39,20.39,26.412918,35.72224,20.763344,27.14712,42726.227,40132.562,0.0,0.0,0.0,5.692099,13.32,3.3337653,24.13,5.0881767,2024-12-02,Bertoua,13.6833,13.6833,269.54166,1.5541667,0.575,64.333336,0.2616667,23.875,2.2625,2.2625
3.0,34.19,19.59,26.010834,35.36372,20.29912,26.642424,42720.633,40124.8,0.0,0.0,0.0,8.350138,18.72,359.63272,23.75,5.249563,2024-12-03,Bertoua,13.6833,13.6833,326.0,2.5,0.5,32.0,0.35,20.0,0.0,0.0
