,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,latitude,longitude,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky
24,2022-08-28,53.0,27.503,22.203001,24.450914,32.151653,26.432535,28.539839,0,0,43923.426,31077.99,1.2,1.2,0.0,5.0,16.299694,35.28,226.46869,14.97,3.0010316,Douala,4.0483,9.7043,26.325,17.483333333333334,306.6666666666667,2.6145833333333335,0.26875,49.833333333333336,0.46125,0.0,1.4833333333333334,2.1791666666666667
25,2022-08-29,65.0,23.803,22.303,23.194666,29.030651,26.915197,28.08782,0,0,43910.742,0.0,33.2,33.2,0.0,21.0,7.491114,15.4800005,227.4196,4.17,0.8709016,Douala,4.0483,9.7043,22.229166666666668,15.079166666666666,309.2916666666667,2.2624999999999997,0.26458333333333334,55.375,0.3675,0.0,1.2895833333333333,2.2354166666666666
26,2022-08-30,63.0,25.353,21.953001,23.532166,28.7882,26.40694,27.700434,0,0,43898.062,11591.173,9.8,9.8,0.0,10.0,16.641972,36.36,231.48682,11.0,2.037505,Douala,4.0483,9.7043,15.204166666666666,10.033333333333333,257.8333333333333,1.4979166666666668,0.19791666666666666,50.125,0.25666666666666665,0.0,1.2208333333333334,2.375
27,2022-08-31,61.0,25.453001,22.203001,23.288416,29.778172,26.188816,27.646326,0,0,43885.297,11777.511,7.1999993,7.1999993,0.0,19.0,12.682018,28.8,245.22476,11.01,2.1200006,Douala,4.0483,9.7043,19.3,12.845833333333333,278.5,2.5124999999999997,0.20625000000000002,45.958333333333336,0.20666666666666667,0.0,1.0354166666666667,2.4791666666666665
28,2022-09-01,53.0,26.803,21.853,23.490501,31.636307,25.716795,27.831976,0,0,43872.434,24722.627,3.2,3.2,0.0,15.0,8.587338,20.880001,48.65238,13.08,2.5611327,Douala,4.0483,9.7043,17.833333333333332,12.279166666666667,298.0,2.3333333333333335,0.2604166666666667,48.166666666666664,0.18333333333333335,0.0,1.3770833333333332,2.48125
29,2022-09-02,55.0,26.153,22.153,23.938417,29.038311,26.463928,27.895144,0,0,43859.484,21878.479,4.5,4.5,0.0,13.0,12.88981,30.960001,203.87527,11.42,2.2936196,Douala,4.0483,9.7043,20.970833333333335,14.4625,315.0,2.55625,0.24791666666666667,49.416666666666664,0.245,0.0,1.2750000000000001,2.316666666666667
30,2022-09-03,65.0,25.653,21.853,23.188414,30.011608,26.092096,27.376228,0,0,43846.465,23277.678,22.200003,22.200003,0.0,20.0,13.684735,30.960001,214.2264,12.78,2.3128476,Douala,4.0483,9.7043,17.745833333333334,12.112499999999999,298.4166666666667,2.216666666666667,0.25833333333333336,54.541666666666664,0.3145833333333333,0.0,0.9375,2.2666666666666666
31,2022-09-04,51.0,27.953001,22.003,25.038416,32.68367,26.268003,29.19963,0,0,43833.38,35801.48,1.3000001,1.3000001,0.0,8.0,14.003028,31.68,224.72409,17.52,3.440114,Douala,4.0483,9.7043,12.012500000000001,8.0,232.95833333333334,1.1770833333333333,0.14166666666666666,52.041666666666664,0.15958333333333333,0.0,1.0,2.46875
32,2022-09-05,55.0,27.353,23.053,24.700918,30.827156,27.79594,29.149658,0,0,43820.24,38413.055,6.6999993,6.6999993,0.0,12.0,13.830749,32.039997,240.20348,15.93,3.0418844,Douala,4.0483,9.7043,12.316666666666668,8.229166666666666,244.91666666666666,1.2645833333333334,0.19583333333333333,50.083333333333336,0.13875,0.0,1.9541666666666668,2.5645833333333337
33,2022-09-06,51.0,28.703001,22.603,25.269669,34.001907,26.989836,29.579142,0,0,43807.05,39634.57,0.5,0.5,0.0,4.0,17.148247,38.16,243.82039,21.13,4.1307173,Douala,4.0483,9.7043,12.908333333333333,8.579166666666667,248.875,1.7041666666666666,0.14791666666666667,46.291666666666664,0.15166666666666667,0.0,1.7375,2.5145833333333334
34,2022-09-07,51.0,26.553,23.353,24.738417,30.834137,27.828922,28.812567,0,0,43793.824,35510.133,0.90000004,0.90000004,0.0,5.0,21.194187,47.16,254.1441,14.72,2.8626275,Douala,4.0483,9.7043,12.870833333333332,8.745833333333334,255.33333333333334,1.7333333333333334,0.16666666666666666,46.583333333333336,0.16333333333333333,0.0,1.8104166666666668,2.4520833333333334
35,2022-09-08,55.0,27.153,23.203001,24.653002,31.664581,27.630655,29.063211,0,0,43780.57,9032.025,4.1,4.1,0.0,12.0,12.819235,25.919998,257.65237,8.97,1.9165525,Douala,4.0483,9.7043,11.1875,7.579166666666667,247.25,1.4770833333333335,0.10625000000000001,45.625,0.1375,0.0,0.9562499999999999,2.44375
36,2022-09-09,63.0,26.053,22.653,23.986336,30.268291,27.25877,28.498644,0,0,43767.297,18848.25,21.800003,21.800003,0.0,17.0,13.493999,29.88,248.79967,10.93,2.123044,Douala,4.0483,9.7043,13.958333333333334,9.466666666666667,265.7083333333333,1.7750000000000001,0.17500000000000002,45.791666666666664,0.13416666666666668,0.0,0.9833333333333333,2.475
37,2022-09-10,63.0,27.153,22.453001,24.375917,30.395832,26.6142,28.38691,0,0,43754.008,27668.742,4.4999995,4.4999995,0.0,11.0,15.546833,35.28,211.6947,14.17,2.8238122,Douala,4.0483,9.7043,13.424999999999999,9.237499999999999,269.4583333333333,1.6791666666666665,0.17708333333333334,47.708333333333336,0.13999999999999999,0.0,1.2666666666666666,2.40625
38,2022-09-11,51.0,27.803,22.053,24.965502,32.23017,26.298056,29.140724,0,0,43740.72,39822.875,1.2,1.2,0.0,9.0,16.641972,37.44,220.5153,20.5,3.898378,Douala,4.0483,9.7043,14.887500000000001,10.1,287.5416666666667,1.7958333333333334,0.18541666666666667,50.166666666666664,0.16333333333333333,0.0,0.6479166666666666,2.402083333333333
39,2022-09-12,55.0,28.753,22.453001,24.844667,34.617783,26.318104,29.609278,0,0,43727.438,27405.594,2.1999998,2.1999998,0.0,11.0,9.6932955,28.08,260.84982,17.03,3.3654356,Douala,4.0483,9.7043,16.616666666666667,10.920833333333334,259.375,1.575,0.23958333333333334,47.333333333333336,0.19791666666666666,0.0,1.9979166666666668,2.49375
40,2022-09-13,51.0,27.503,23.453001,25.015501,32.086826,28.194187,29.523748,0,0,43714.168,29374.623,2.7999997,2.7999997,0.0,11.0,17.057314,37.8,232.0012,15.93,3.1306555,Douala,4.0483,9.7043,18.558333333333334,12.495833333333332,266.25,1.5979166666666667,0.25625000000000003,49.708333333333336,0.21416666666666664,0.0,1.5270833333333333,2.4145833333333333
41,2022-09-14,51.0,27.053,23.353,25.019667,31.793087,28.24498,29.391563,0,0,43700.918,34685.47,2.1000001,2.1000001,0.0,17.0,17.208603,39.239998,231.69795,15.08,2.9349813,Douala,4.0483,9.7043,14.625,9.833333333333334,270.25,1.3270833333333334,0.3229166666666667,49.0,0.19083333333333333,0.5833333333333334,1.7708333333333333,2.4854166666666666
42,2022-09-15,63.0,25.553,22.753,24.078001,30.892902,27.25853,28.948275,0,0,43687.7,12483.407,17.900002,17.900002,0.0,22.0,7.69592,20.519999,262.875,9.33,1.8849211,Douala,4.0483,9.7043,12.225,8.141666666666667,239.29166666666666,1.51875,0.16041666666666668,46.208333333333336,0.14208333333333334,0.8333333333333334,1.1458333333333333,2.49375
43,2022-09-16,61.0,28.703001,22.653,24.75717,34.524624,27.42237,29.72656,0,0,43674.52,34731.74,5.7999997,5.7999997,0.0,10.0,8.4042845,30.599998,205.94226,17.53,3.4539013,Douala,4.0483,9.7043,13.0625,9.0375,256.7916666666667,1.96875,0.15833333333333333,46.583333333333336,0.09625,0.0,0.4583333333333333,2.53125
44,2022-09-17,61.0,26.653,22.903,23.930084,31.807396,27.439745,28.554182,0,0,43661.387,12545.838,9.5,9.5,0.0,18.0,12.738099,27.0,229.44576,10.21,1.9787376,Douala,4.0483,9.7043,13.729166666666666,9.408333333333333,268.5,1.4895833333333333,0.19791666666666666,49.125,0.14875000000000002,0.0,0.9479166666666666,2.4625
45,2022-09-18,65.0,24.303,22.303,23.150917,30.164494,26.86693,27.998909,0,0,43648.31,0.0,53.999996,53.999996,0.0,24.0,11.298495,22.68,254.0545,3.97,0.80543125,Douala,4.0483,9.7043,16.662499999999998,11.366666666666667,277.0833333333333,1.4083333333333332,0.32916666666666666,47.791666666666664,0.17333333333333334,0.0,1.2041666666666668,2.3874999999999997
46,2022-09-19,61.0,26.703001,22.153,23.919664,31.005814,26.765026,28.668158,0,0,43635.28,14420.191,9.6,9.6,0.0,14.0,10.691453,25.919998,247.86433,11.47,2.29337,Douala,4.0483,9.7043,16.958333333333332,11.220833333333333,249.29166666666666,1.7770833333333333,0.13125,43.291666666666664,0.135,0.0,0.9208333333333333,2.591666666666667
47,2022-09-20,51.0,27.853,22.803,25.163416,32.87681,27.17783,29.425964,0,0,43622.207,38099.863,0.5,0.5,0.0,5.0,14.264361,33.12,232.09987,18.37,3.6215343,Douala,4.0483,9.7043,19.329166666666666,13.133333333333333,272.9166666666667,1.7125000000000001,0.39999999999999997,44.5,0.16125,0.0,1.7750000000000001,2.4833333333333334
48,2022-09-21,63.0,25.803,22.503,23.867584,30.489933,26.530956,28.521475,0,0,43609.094,20865.998,22.099998,22.099998,0.0,16.0,11.983188,27.72,201.36195,11.14,2.0862694,Douala,4.0483,9.7043,19.408333333333335,13.4125,248.04166666666666,1.7916666666666667,0.33125,49.416666666666664,0.16916666666666666,0.0,1.2833333333333334,2.50625
49,2022-09-22,51.0,28.303,23.303,25.353003,34.7097,27.758846,30.160475,0,0,43595.934,29826.0,1.8000002,1.8000002,0.0,13.0,10.296251,25.56,216.63896,17.09,3.431284,Douala,4.0483,9.7043,12.887500000000001,8.866666666666667,216.08333333333334,0.9562499999999999,0.2791666666666667,52.416666666666664,0.12416666666666666,0.0,1.4354166666666668,2.5729166666666665
50,2022-09-23,51.0,27.603,23.553,25.142584,32.976616,28.590889,29.822145,0,0,43582.742,34615.56,1.4000002,1.4000002,0.0,12.0,15.021105,34.92,234.28348,17.47,3.3753605,Douala,4.0483,9.7043,12.070833333333333,8.308333333333334,215.91666666666666,0.7729166666666667,0.31666666666666665,53.125,0.11458333333333333,0.0,1.9229166666666666,2.6645833333333333
51,2022-09-24,61.0,29.353,22.603,25.040503,35.250175,26.93581,29.304209,0,0,43569.53,37120.863,3.2000003,3.2000003,0.0,12.0,18.35647,39.96,227.70576,17.5,3.4248576,Douala,4.0483,9.7043,14.916666666666666,10.245833333333334,226.54166666666666,0.75625,0.47291666666666665,48.083333333333336,0.1275,0.0,1.9458333333333335,2.5729166666666665
52,2022-09-25,63.0,26.503,22.853,24.542585,31.523106,27.619667,29.155897,0,0,43556.31,33998.625,11.000001,11.000001,0.0,18.0,11.4862,29.16,217.19107,14.86,2.895179,Douala,4.0483,9.7043,15.0,10.329166666666666,216.41666666666666,1.1416666666666666,0.325,46.5,0.14875,0.0,1.4479166666666667,2.4583333333333335
53,2022-09-26,61.0,26.353,22.303,23.832167,31.109707,26.571348,28.209768,0,0,43543.08,18509.207,9.299999,9.299999,0.0,17.0,14.336861,29.16,238.80914,12.01,2.292661,Douala,4.0483,9.7043,10.450000000000001,7.116666666666667,197.33333333333334,1.1375,0.13541666666666666,43.875,0.09749999999999999,0.0,1.2729166666666667,2.5375
54,2022-09-27,53.0,25.803,22.703001,23.967583,30.321949,27.331566,28.53734,0,0,43529.86,10300.514,5.0999994,5.0999994,0.0,18.0,10.691453,22.319998,202.1663,10.0,2.0563827,Douala,4.0483,9.7043,13.333333333333334,9.233333333333333,240.375,2.0833333333333335,0.17500000000000002,40.875,0.09708333333333334,0.0,0.9895833333333334,2.53125
55,2022-09-28,51.0,28.203001,22.653,24.505083,33.083294,26.819466,28.697126,0,0,43516.65,36998.723,0.70000005,0.70000005,0.0,5.0,12.475961,29.519999,261.627,16.85,3.237293,Douala,4.0483,9.7043,12.729166666666666,8.758333333333333,227.95833333333334,1.7125000000000001,0.1875,46.5,0.10958333333333332,0.0,1.9145833333333335,2.5520833333333335
56,2022-09-29,51.0,28.053,22.603,25.080084,33.3057,27.130497,29.52224,0,0,43503.46,38318.91,0.70000005,0.70000005,0.0,3.0,11.298495,28.44,233.60709,17.75,3.4933197,Douala,4.0483,9.7043,15.341666666666667,10.65,245.08333333333334,1.8395833333333333,0.3104166666666667,45.75,0.13125,0.0,1.6875,2.4833333333333334
57,2022-09-30,53.0,27.503,22.953001,24.8155,32.265984,27.48306,29.341558,0,0,43490.305,31550.695,4.6,4.6,0.0,15.0,11.609651,27.72,232.12495,15.33,2.9970038,Douala,4.0483,9.7043,17.3125,12.058333333333332,248.5,2.0416666666666665,0.2604166666666667,48.25,0.15791666666666668,0.0,1.4729166666666667,2.4666666666666663
58,2022-10-01,55.0,27.503,23.053,24.892584,31.173111,28.007362,29.458168,0,0,43477.18,32721.838,2.5999994,2.5999994,0.0,10.0,14.529915,33.839996,226.86362,16.93,3.286733,Douala,4.0483,9.7043,17.904166666666665,12.387500000000001,250.5,1.6208333333333333,0.35833333333333334,44.708333333333336,0.17833333333333334,0.0,1.5125,2.5
59,2022-10-02,51.0,29.403,22.803,25.457169,34.463596,27.545618,30.076593,0,0,43464.11,37531.93,0.1,0.1,0.0,1.0,14.76439,34.2,236.05258,19.95,3.9773912,Douala,4.0483,9.7043,13.075000000000001,8.924999999999999,209.41666666666666,1.4270833333333333,0.29583333333333334,42.791666666666664,0.16333333333333333,0.0,1.6041666666666667,2.533333333333333
60,2022-10-03,51.0,29.003,22.953001,25.252998,35.300755,27.557241,29.832415,0,0,43451.098,35198.945,0.5,0.5,0.0,5.0,14.021525,35.28,234.89813,19.16,3.7651684,Douala,4.0483,9.7043,16.366666666666667,10.970833333333333,218.5,1.6645833333333335,0.27291666666666664,41.166666666666664,0.19333333333333336,0.75,1.31875,2.433333333333333
