,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,latitude,longitude
1350,2022-09-11,51.0,27.803,22.053,24.965502,32.23017,26.298056,29.140724,0,0,43740.72,39822.875,1.2,1.2,0.0,9.0,16.641972,37.44,220.5153,20.5,3.898378,Douala,4.0483,9.7043
1351,2022-09-12,55.0,28.753,22.453001,24.844667,34.617783,26.318104,29.609278,0,0,43727.438,27405.594,2.1999998,2.1999998,0.0,11.0,9.6932955,28.08,260.84982,17.03,3.3654356,Douala,4.0483,9.7043
1352,2022-09-13,51.0,27.503,23.453001,25.015501,32.086826,28.194187,29.523748,0,0,43714.168,29374.623,2.7999997,2.7999997,0.0,11.0,17.057314,37.8,232.0012,15.93,3.1306555,Douala,4.0483,9.7043
1353,2022-09-14,51.0,27.053,23.353,25.019667,31.793087,28.24498,29.391563,0,0,43700.918,34685.47,2.1000001,2.1000001,0.0,17.0,17.208603,39.239998,231.69795,15.08,2.9349813,Douala,4.0483,9.7043
1354,2022-09-15,63.0,25.553,22.753,24.078001,30.892902,27.25853,28.948275,0,0,43687.7,12483.407,17.900002,17.900002,0.0,22.0,7.69592,20.519999,262.875,9.33,1.8849211,Douala,4.0483,9.7043
1355,2022-09-16,61.0,28.703001,22.653,24.75717,34.524624,27.42237,29.72656,0,0,43674.52,34731.74,5.7999997,5.7999997,0.0,10.0,8.4042845,30.599998,205.94226,17.53,3.4539013,Douala,4.0483,9.7043
1356,2022-09-17,61.0,26.653,22.903,23.930084,31.807396,27.439745,28.554182,0,0,43661.387,12545.838,9.5,9.5,0.0,18.0,12.738099,27.0,229.44576,10.21,1.9787376,Douala,4.0483,9.7043
1357,2022-09-18,65.0,24.303,22.303,23.150917,30.164494,26.86693,27.998909,0,0,43648.31,0.0,53.999996,53.999996,0.0,24.0,11.298495,22.68,254.0545,3.97,0.80543125,Douala,4.0483,9.7043
1358,2022-09-19,61.0,26.703001,22.153,23.919664,31.005814,26.765026,28.668158,0,0,43635.28,14420.191,9.6,9.6,0.0,14.0,10.691453,25.919998,247.86433,11.47,2.29337,Douala,4.0483,9.7043
1359,2022-09-20,51.0,27.853,22.803,25.163416,32.87681,27.17783,29.425964,0,0,43622.207,38099.863,0.5,0.5,0.0,5.0,14.264361,33.12,232.09987,18.37,3.6215343,Douala,4.0483,9.7043
1360,2022-09-21,63.0,25.803,22.503,23.867584,30.489933,26.530956,28.521475,0,0,43609.094,20865.998,22.099998,22.099998,0.0,16.0,11.983188,27.72,201.36195,11.14,2.0862694,Douala,4.0483,9.7043
1361,2022-09-22,51.0,28.303,23.303,25.353003,34.7097,27.758846,30.160475,0,0,43595.934,29826.0,1.8000002,1.8000002,0.0,13.0,10.296251,25.56,216.63896,17.09,3.431284,Douala,4.0483,9.7043
1362,2022-09-23,51.0,27.603,23.553,25.142584,32.976616,28.590889,29.822145,0,0,43582.742,34615.56,1.4000002,1.4000002,0.0,12.0,15.021105,34.92,234.28348,17.47,3.3753605,Douala,4.0483,9.7043
1363,2022-09-24,61.0,29.353,22.603,25.040503,35.250175,26.93581,29.304209,0,0,43569.53,37120.863,3.2000003,3.2000003,0.0,12.0,18.35647,39.96,227.70576,17.5,3.4248576,Douala,4.0483,9.7043
1364,2022-09-25,63.0,26.503,22.853,24.542585,31.523106,27.619667,29.155897,0,0,43556.31,33998.625,11.000001,11.000001,0.0,18.0,11.4862,29.16,217.19107,14.86,2.895179,Douala,4.0483,9.7043
1365,2022-09-26,61.0,26.353,22.303,23.832167,31.109707,26.571348,28.209768,0,0,43543.08,18509.207,9.299999,9.299999,0.0,17.0,14.336861,29.16,238.80914,12.01,2.292661,Douala,4.0483,9.7043
1366,2022-09-27,53.0,25.803,22.703001,23.967583,30.321949,27.331566,28.53734,0,0,43529.86,10300.514,5.0999994,5.0999994,0.0,18.0,10.691453,22.319998,202.1663,10.0,2.0563827,Douala,4.0483,9.7043
1367,2022-09-28,51.0,28.203001,22.653,24.505083,33.083294,26.819466,28.697126,0,0,43516.65,36998.723,0.70000005,0.70000005,0.0,5.0,12.475961,29.519999,261.627,16.85,3.237293,Douala,4.0483,9.7043
1368,2022-09-29,51.0,28.053,22.603,25.080084,33.3057,27.130497,29.52224,0,0,43503.46,38318.91,0.70000005,0.70000005,0.0,3.0,11.298495,28.44,233.60709,17.75,3.4933197,Douala,4.0483,9.7043
1369,2022-09-30,53.0,27.503,22.953001,24.8155,32.265984,27.48306,29.341558,0,0,43490.305,31550.695,4.6,4.6,0.0,15.0,11.609651,27.72,232.12495,15.33,2.9970038,Douala,4.0483,9.7043
1370,2022-10-01,55.0,27.503,23.053,24.892584,31.173111,28.007362,29.458168,0,0,43477.18,32721.838,2.5999994,2.5999994,0.0,10.0,14.529915,33.839996,226.86362,16.93,3.286733,Douala,4.0483,9.7043
1371,2022-10-02,51.0,29.403,22.803,25.457169,34.463596,27.545618,30.076593,0,0,43464.11,37531.93,0.1,0.1,0.0,1.0,14.76439,34.2,236.05258,19.95,3.9773912,Douala,4.0483,9.7043
1372,2022-10-03,51.0,29.003,22.953001,25.252998,35.300755,27.557241,29.832415,0,0,43451.098,35198.945,0.5,0.5,0.0,5.0,14.021525,35.28,234.89813,19.16,3.7651684,Douala,4.0483,9.7043
1373,2022-10-04,53.0,26.803,23.453001,25.113419,32.225338,28.72908,29.922743,0,0,43438.152,20883.953,2.9999998,2.9999998,0.0,18.0,12.88981,29.88,233.64534,14.2,2.8327641,Douala,4.0483,9.7043
1374,2022-10-05,63.0,27.653,23.103,24.813421,31.979141,27.922813,29.659674,0,0,43425.277,22558.725,18.400002,18.400002,0.0,15.0,11.183201,26.28,259.93936,12.61,2.5591054,Douala,4.0483,9.7043
1375,2022-10-06,63.0,24.553,22.403,23.35092,29.45271,26.365479,28.069092,0,0,43412.484,0.0,20.1,20.1,0.0,19.0,10.97262,23.759998,78.69015,5.84,1.178512,Douala,4.0483,9.7043
1376,2022-10-07,53.0,28.103,22.003,25.025917,33.446682,26.315926,29.491041,0,0,43399.78,32491.775,0.9000001,0.9000001,0.0,4.0,14.003028,33.839996,221.37444,18.26,3.657855,Douala,4.0483,9.7043
1377,2022-10-08,51.0,29.403,22.553,25.38217,35.072594,27.051805,30.222322,0,0,43387.184,37567.266,1.2,1.2,0.0,11.0,13.392774,30.960001,201.5291,20.24,3.9900415,Douala,4.0483,9.7043
1378,2022-10-09,61.0,27.353,23.303,24.58425,31.745949,28.426964,29.741325,0,0,43374.676,16593.057,14.999998,14.999998,0.0,21.0,13.044722,37.079998,240.54639,11.32,2.1727161,Douala,4.0483,9.7043
1379,2022-10-10,55.0,29.603,22.703001,25.305084,36.18671,27.37084,30.307184,0,0,43362.17,38011.074,6.4999995,6.4999995,0.0,16.0,16.641972,38.16,245.32304,20.37,3.9793193,Douala,4.0483,9.7043
1380,2022-10-11,61.0,28.653,22.753,24.900917,32.938828,27.376444,29.373993,0,0,43349.656,28123.855,8.0,8.0,0.0,12.0,13.608762,31.319998,201.42874,15.03,2.9957652,Douala,4.0483,9.7043
1381,2022-10-12,61.0,28.803,22.803,25.698832,34.799686,27.453266,30.629044,0,0,43337.137,39755.92,6.7,6.7,0.0,18.0,13.53236,31.319998,217.9101,19.3,3.8212934,Douala,4.0483,9.7043
1382,2022-10-13,51.0,26.253,23.303,24.63633,31.09763,28.05542,29.4574,0,0,43324.63,6099.647,3.0000005,3.0000005,0.0,17.0,9.511088,23.4,262.12234,11.19,2.2326424,Douala,4.0483,9.7043
1383,2022-10-14,63.0,28.253,23.053,25.094666,32.173347,28.01101,29.790316,0,0,43312.145,31599.129,5.7,5.7,0.0,14.0,15.876775,33.839996,219.3474,15.8,3.1169941,Douala,4.0483,9.7043
1384,2022-10-15,53.0,29.703001,23.053,25.105085,36.357597,27.483938,30.200174,0,0,43299.684,31868.71,3.3000002,3.3000002,0.0,13.0,10.464797,27.72,81.15822,18.03,3.6092303,Douala,4.0483,9.7043
1385,2022-10-16,63.0,29.603,23.203001,25.650917,36.854523,28.352798,30.959259,0,0,43287.266,36630.027,15.500001,15.500001,0.0,20.0,9.793059,26.28,202.89731,18.55,3.729592,Douala,4.0483,9.7043
1386,2022-10-17,63.0,27.353,23.103,25.403002,32.61796,28.104923,30.606058,0,0,43274.895,39170.684,14.400001,14.400001,0.0,22.0,9.178235,24.84,224.69199,17.99,3.4624822,Douala,4.0483,9.7043
1387,2022-10-18,63.0,27.053,23.103,24.563417,32.85391,27.755516,29.453331,0,0,43262.582,21195.334,18.900002,18.900002,0.0,20.0,10.464797,22.319998,225.77757,13.45,2.6055636,Douala,4.0483,9.7043
1388,2022-10-19,63.0,26.453001,22.903,24.367584,31.111233,27.192604,29.165956,0,0,43250.34,19172.44,12.000002,12.000002,0.0,21.0,7.9036193,24.119999,154.31639,12.97,2.5106525,Douala,4.0483,9.7043
1389,2022-10-20,61.0,28.453001,22.503,24.98842,33.002575,26.9508,29.752518,0,0,43238.176,21784.312,6.2999997,6.2999997,0.0,11.0,10.296251,22.319998,230.8696,13.32,2.7170048,Douala,4.0483,9.7043
1390,2022-10-21,63.0,27.503,23.003,24.425919,31.447521,27.728323,29.2723,0,0,43226.098,6841.6313,20.4,20.4,0.0,17.0,10.086427,24.48,173.99104,9.84,1.9952854,Douala,4.0483,9.7043
1391,2022-10-22,63.0,27.603,22.953001,24.573835,32.856007,27.310856,29.740057,0,0,43214.12,7343.2153,18.700006,18.700006,0.0,24.0,8.209263,18.72,6.428606,9.96,2.0068595,Douala,4.0483,9.7043
1392,2022-10-23,63.0,29.653,23.453001,26.00717,36.144337,28.384365,31.283083,0,0,43202.254,33878.6,12.6,12.6,0.0,16.0,14.113652,36.36,211.20616,17.7,3.557144,Douala,4.0483,9.7043
1393,2022-10-24,63.0,28.453001,23.303,25.125916,33.555573,28.243378,30.134491,0,0,43190.508,21119.674,24.300001,24.300001,0.0,9.0,9.693296,29.519999,204.44392,15.63,3.0795853,Douala,4.0483,9.7043
1394,2022-10-25,51.0,30.553,22.803,25.823835,37.455105,27.312044,30.78018,0,0,43178.89,39297.27,0.7,0.7,0.0,5.0,12.768586,29.88,242.71881,20.49,4.100328,Douala,4.0483,9.7043
1395,2022-10-26,63.0,28.803,23.003,25.58425,34.538403,27.568197,30.800476,0,0,43167.414,35001.043,5.3999996,5.3999996,0.0,12.0,8.435069,24.84,208.05281,17.02,3.3588173,Douala,4.0483,9.7043
1396,2022-10-27,63.0,26.553,23.503,24.900919,31.56557,28.326073,29.956818,0,0,43156.098,10688.442,11.500001,11.500001,0.0,18.0,11.988594,29.16,208.45471,10.93,2.1192403,Douala,4.0483,9.7043
1397,2022-10-28,63.0,27.603,23.103,24.698835,32.02105,28.091133,29.787003,0,0,43144.934,11220.509,18.7,18.7,0.0,13.0,8.942214,21.24,206.37524,9.39,1.9317971,Douala,4.0483,9.7043
1398,2022-10-29,53.0,29.453001,23.253,25.730085,36.190563,28.284073,30.947044,0,0,43133.938,38834.207,2.2,2.2,0.0,6.0,11.720751,28.8,224.51585,18.74,3.7042427,Douala,4.0483,9.7043
1399,2022-10-30,55.0,28.653,23.453001,25.784254,33.852062,28.304028,30.923203,0,0,43122.996,35710.094,2.5999997,2.5999997,0.0,10.0,12.496718,30.239998,239.13051,17.59,3.4135206,Douala,4.0483,9.7043
1400,2022-10-31,63.0,30.253,23.203001,25.953001,36.84339,28.456429,31.418734,0,0,43112.105,38428.695,4.7,4.7,0.0,9.0,12.313894,29.16,211.75941,19.38,3.8559208,Douala,4.0483,9.7043
1401,2022-11-01,63.0,26.953001,23.753,25.030085,32.76504,29.11753,30.23207,0,0,43101.273,9124.798,19.400002,19.400002,0.0,22.0,12.475961,28.08,197.46127,11.11,2.190131,Douala,4.0483,9.7043
1402,2022-11-02,61.0,27.503,23.453001,25.198832,32.03275,28.318905,30.275621,0,0,43090.51,26492.785,8.700001,8.700001,0.0,17.0,12.261157,29.16,216.86998,13.87,2.7237632,Douala,4.0483,9.7043
1403,2022-11-03,61.0,29.053,23.853,25.95092,34.51923,29.00074,30.998062,0,0,43079.832,38639.582,4.0,4.0,0.0,8.0,10.97262,29.16,230.00397,18.28,3.665696,Douala,4.0483,9.7043
1404,2022-11-04,53.0,29.353,23.953001,26.378,35.39249,28.783936,31.381554,0,0,43069.242,38137.055,1.6000001,1.6000001,0.0,8.0,16.055355,35.64,216.34962,19.56,3.8912904,Douala,4.0483,9.7043
1405,2022-11-05,63.0,29.103,23.353,25.869667,34.578777,28.602215,30.994444,0,0,43058.754,33702.824,12.2,12.2,0.0,14.0,13.276144,29.16,216.55254,17.57,3.5093846,Douala,4.0483,9.7043
1406,2022-11-06,53.0,31.303,22.853,26.161337,37.393894,27.655663,31.09907,0,0,43048.387,38867.996,1.9,1.9,0.0,8.0,11.808878,28.8,201.91487,19.22,3.9636598,Douala,4.0483,9.7043
1407,2022-11-07,55.0,28.303,23.903,26.050917,34.128284,29.17125,31.28772,0,0,43038.137,37316.383,3.1000001,3.1000001,0.0,9.0,14.081477,34.56,211.0441,17.3,3.3632069,Douala,4.0483,9.7043
1408,2022-11-08,53.0,28.753,24.153,25.723837,34.30375,29.266983,30.831907,0,0,43028.03,30667.293,3.7999997,3.7999997,0.0,13.0,12.261157,30.599998,220.53755,16.37,3.1786294,Douala,4.0483,9.7043
