,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,city,latitude,longitude
10196,2023-11-18,23.65833333333333,15.991666666666667,257.75,2.6458333333333335,1.0166666666666666,50.458333333333336,0.47625,6.083333333333333,1.4520833333333334,2.4812499999999997,Buea,4.1527,9.241
10197,2023-11-19,25.770833333333332,17.595833333333335,277.2083333333333,3.1333333333333333,1.2874999999999999,49.25,0.48541666666666666,7.833333333333333,1.20625,2.4270833333333335,Buea,4.1527,9.241
10198,2023-11-20,24.858333333333334,16.870833333333334,267.125,3.0208333333333335,1.1624999999999999,50.208333333333336,0.4504166666666667,10.041666666666666,1.425,2.464583333333333,Buea,4.1527,9.241
10199,2023-11-21,24.820833333333336,15.4375,260.1666666666667,2.5458333333333334,0.8083333333333332,49.625,0.35083333333333333,13.958333333333334,1.0895833333333333,2.5291666666666663,Buea,4.1527,9.241
10200,2023-11-22,13.445833333333333,9.65,235.08333333333334,2.966666666666667,1.2041666666666668,42.958333333333336,0.25916666666666666,2.7916666666666665,0.60625,2.7770833333333336,Buea,4.1527,9.241
10201,2023-11-23,9.745833333333334,7.1625000000000005,238.125,3.141666666666667,1.3541666666666667,43.625,0.17958333333333334,0.3333333333333333,1.0104166666666667,2.6625,Buea,4.1527,9.241
10202,2023-11-24,17.108333333333334,12.870833333333332,243.375,2.5500000000000003,1.25,47.041666666666664,0.33666666666666667,1.5416666666666667,1.7145833333333333,2.589583333333333,Buea,4.1527,9.241
10203,2023-11-25,21.329166666666666,15.541666666666666,257.2083333333333,2.9125,1.0208333333333333,40.666666666666664,0.41375,2.625,1.1187500000000001,2.4666666666666663,Buea,4.1527,9.241
10204,2023-11-26,9.950000000000001,7.341666666666666,236.66666666666666,2.370833333333333,0.9750000000000001,48.875,0.30291666666666667,0.7916666666666666,1.1875,2.6062499999999997,Buea,4.1527,9.241
10205,2023-11-27,14.254166666666668,9.975,290.2916666666667,2.5083333333333333,0.8041666666666667,58.041666666666664,0.3804166666666667,1.5833333333333333,1.3375000000000001,2.45,Buea,4.1527,9.241
10206,2023-11-28,14.233333333333334,9.5375,282.9166666666667,2.3541666666666665,0.8291666666666666,62.958333333333336,0.35041666666666665,2.7083333333333335,1.0041666666666667,2.441666666666667,Buea,4.1527,9.241
10207,2023-11-29,16.6875,10.841666666666667,239.54166666666666,2.795833333333333,0.9958333333333332,46.916666666666664,0.34708333333333335,5.458333333333333,1.0833333333333333,2.4125,Buea,4.1527,9.241
10208,2023-11-30,20.070833333333333,12.670833333333334,253.66666666666666,2.8166666666666664,0.9791666666666666,45.875,0.40041666666666664,8.666666666666666,1.1916666666666667,2.2416666666666667,Buea,4.1527,9.241
10209,2023-12-01,19.120833333333334,11.908333333333333,250.20833333333334,2.4125,1.0166666666666666,48.791666666666664,0.355,9.833333333333334,1.1354166666666667,2.3895833333333334,Buea,4.1527,9.241
10210,2023-12-02,15.779166666666667,10.529166666666667,259.9166666666667,2.7083333333333335,1.0250000000000001,51.75,0.32166666666666666,5.416666666666667,0.7999999999999999,2.4083333333333337,Buea,4.1527,9.241
10211,2023-12-03,22.795833333333334,15.137500000000001,307.8333333333333,3.25,0.9833333333333334,49.75,0.365,7.583333333333333,1.3916666666666666,2.29375,Buea,4.1527,9.241
10212,2023-12-04,20.837500000000002,12.783333333333333,265.7916666666667,2.841666666666667,1.0416666666666667,47.666666666666664,0.3425,10.541666666666666,1.3604166666666666,2.3541666666666665,Buea,4.1527,9.241
10213,2023-12-05,20.458333333333332,12.429166666666667,265.875,2.7375000000000003,1.0333333333333334,52.875,0.3725,10.625,1.4875,2.2333333333333334,Buea,4.1527,9.241
10214,2023-12-06,16.433333333333334,10.116666666666665,243.29166666666666,2.6875,0.9666666666666667,51.333333333333336,0.3758333333333333,7.833333333333333,0.9729166666666668,2.3833333333333333,Buea,4.1527,9.241
10215,2023-12-07,14.5375,8.316666666666666,243.45833333333334,2.225,1.0875000000000001,54.041666666666664,0.3420833333333333,10.25,1.2895833333333333,2.5520833333333335,Buea,4.1527,9.241
10216,2023-12-08,18.587500000000002,11.691666666666668,284.7083333333333,3.2416666666666667,1.075,51.166666666666664,0.36166666666666664,7.708333333333333,1.05625,2.4458333333333333,Buea,4.1527,9.241
10217,2023-12-09,23.900000000000002,14.791666666666666,310.2916666666667,3.358333333333333,1.3083333333333333,56.291666666666664,0.3933333333333333,11.125,1.9312500000000001,2.3916666666666666,Buea,4.1527,9.241
10218,2023-12-10,24.120833333333334,14.487499999999999,274.3333333333333,2.3125,1.125,53.041666666666664,0.37083333333333335,15.458333333333334,1.5979166666666667,2.3562499999999997,Buea,4.1527,9.241
10219,2023-12-11,31.641666666666666,17.208333333333332,275.5416666666667,2.5375,0.975,55.458333333333336,0.43875,28.625,1.5020833333333334,2.2729166666666667,Buea,4.1527,9.241
10220,2023-12-12,29.22083333333333,16.441666666666666,280.875,2.225,1.1291666666666667,60.208333333333336,0.435,22.458333333333332,1.7,2.310416666666667,Buea,4.1527,9.241
10221,2023-12-13,27.941666666666666,16.779166666666665,312.4583333333333,2.3916666666666666,1.0916666666666666,58.166666666666664,0.3741666666666667,14.875,1.79375,2.3520833333333333,Buea,4.1527,9.241
10222,2023-12-14,34.71666666666667,19.045833333333334,306.2916666666667,2.0416666666666665,1.1541666666666666,68.54166666666667,0.4558333333333333,13.25,1.9000000000000001,2.25625,Buea,4.1527,9.241
10223,2023-12-15,48.395833333333336,30.45,360.8333333333333,2.4791666666666665,1.4375,74.5,0.4379166666666667,18.583333333333332,1.8729166666666668,2.247916666666667,Buea,4.1527,9.241
10224,2023-12-16,54.51666666666667,38.225,369.5833333333333,2.5124999999999997,1.0999999999999999,75.125,0.5325,19.958333333333332,1.46875,2.1333333333333333,Buea,4.1527,9.241
10225,2023-12-17,65.96249999999999,49.074999999999996,373.375,1.8416666666666668,1.1624999999999999,75.45833333333333,0.5358333333333334,21.916666666666668,1.9729166666666667,2.2104166666666667,Buea,4.1527,9.241
10226,2023-12-18,78.64166666666667,56.72083333333333,371.2083333333333,1.8916666666666666,1.1041666666666667,76.75,0.6595833333333333,34.916666666666664,1.7541666666666667,2.06875,Buea,4.1527,9.241
10227,2023-12-19,62.949999999999996,45.34166666666667,344.5416666666667,1.9749999999999999,0.7541666666666668,62.583333333333336,0.6791666666666667,25.333333333333332,0.8125,2.002083333333333,Buea,4.1527,9.241
10228,2023-12-20,26.120833333333334,19.133333333333333,313.75,2.1999999999999997,0.7875,58.041666666666664,0.49875,7.291666666666667,0.7395833333333334,2.2395833333333335,Buea,4.1527,9.241
10229,2023-12-21,32.050000000000004,21.837500000000002,307.4166666666667,2.0416666666666665,1.1624999999999999,62.541666666666664,0.5266666666666667,14.375,1.2958333333333332,2.1,Buea,4.1527,9.241
10230,2023-12-22,39.895833333333336,25.945833333333336,328.75,2.1166666666666667,1.0166666666666666,63.458333333333336,0.5041666666666667,22.666666666666668,1.2125000000000001,2.1395833333333334,Buea,4.1527,9.241
10231,2023-12-23,45.604166666666664,29.608333333333334,340.7916666666667,2.1791666666666667,1.0125,63.708333333333336,0.5079166666666667,26.125,1.3687500000000001,2.183333333333333,Buea,4.1527,9.241
10232,2023-12-24,44.02916666666667,29.458333333333332,314.7083333333333,1.925,0.7791666666666667,56.833333333333336,0.4991666666666667,23.458333333333332,1.4708333333333332,2.2291666666666665,Buea,4.1527,9.241
10233,2023-12-25,65.31666666666666,44.13333333333333,336.2083333333333,1.7833333333333332,1.0833333333333333,68.20833333333333,0.5833333333333334,37.25,1.9895833333333333,2.1729166666666666,Buea,4.1527,9.241
10234,2023-12-26,93.1125,60.88333333333333,343.0416666666667,1.7291666666666667,1.1291666666666667,82.125,0.6316666666666667,65.0,1.6791666666666665,2.1125000000000003,Buea,4.1527,9.241
10235,2023-12-27,100.94166666666666,65.47916666666667,384.5416666666667,2.3208333333333333,1.5999999999999999,79.125,0.6454166666666666,68.29166666666667,1.5354166666666667,2.025,Buea,4.1527,9.241
10236,2023-12-28,75.66666666666667,53.025,354.375,2.2875,1.2874999999999999,64.16666666666667,0.6025,40.5,1.6166666666666665,2.0666666666666664,Buea,4.1527,9.241
